Event_ID,Trigger_Tags,requirements,Title,Desc,background,weight,Opt_A_Text,Opt_A_Req,Opt_A_Result,Opt_B_Text,Opt_B_Req,Opt_B_Result,Opt_C_Text,Opt_C_Req,Opt_C_Result,Opt_D_Text,Opt_D_Req,Opt_D_Result
evt_changan_wine_01,actor:status:temporary:drunk,city:econ:level:prosperous,action:intent:study:poetry,"prop_gt(name=money, val=50), trait_has(name=official)",长安酒馆奇遇,你在长安的一家酒馆中遇到了一位神秘的诗人，他似乎喝醉了，但眼中却闪烁着智慧的光芒。,bg_rural_poor,15.5,塞钱贿赂,prop_gt(name=money, val=100),"prop_sub(name=money, val=100), trait_add(name=corrupt)",拂袖而去,trait_has(name=proud),prop_add(name=prestige, val=50),与之对诗,prop_gt(name=literary_fame, val=20),"prop_add(name=literary_fame, val=15), prop_sub(name=money, val=30)",静观其变,,prop_sub(name=money, val=5)
evt_market_poetry_02,action:intent:study:poetry,city:econ:level:prosperous,intel:story_lock:event:anlushan_rebel,prop_gt(name=literary_fame, val=30),市场诗会,市场上正在举行一场诗会，许多文人墨客聚集于此。有人提议以诗会友。,bg_market,10.0,参与诗会,prop_gt(name=literary_fame, val=20),"prop_add(name=literary_fame, val=10), prop_sub(name=money, val=20)",默默观察,,,prop_add(name=literary_fame, val=5),慷慨解囊,prop_gt(name=money, val=100),"prop_sub(name=money, val=50), prop_add(name=prestige, val=30)",提前离开,,,prop_add(name=time, val=1)
evt_official_meeting_03,actor:status:permanent:official,action:work:type:admin,city:pol:level:stable,"prop_gt(name=official_prestige, val=50), trait_not_has(name=corrupt)",官场会晤,你在官署中遇到了几位同僚，他们似乎在讨论一些重要的事情。,bg_government,20.0,参与讨论,prop_gt(name=official_prestige, val=40),"prop_add(name=official_prestige, val=15), prop_sub(name=money, val=10)",保持沉默,,,prop_add(name=official_prestige, val=5),借故离开,trait_has(name=cautious),prop_add(name=safety, val=10),暗中观察,prop_gt(name=intel, val=15),"prop_add(name=intel, val=5), prop_sub(name=money, val=5)"
evt_temple_visit_04,action:travel:destination:temple,actor:status:mental:piety,city:cul:level:traditional,trait_has(name=buddhist),古寺寻幽,你来到一座古老的寺庙，香火缭绕，钟声悠扬。,bg_temple,12.0,烧香拜佛,prop_gt(name=money, val=20),"prop_sub(name=money, val=30), prop_add(name=piety, val=20)",与僧交谈,prop_gt(name=literary_fame, val=25),"prop_add(name=literary_fame, val=8), prop_add(name=piety, val=10)",静心冥想,,,"prop_add(name=piety, val=15), prop_add(name=sanity, val=10)",捐赠香火,prop_gt(name=money, val=100),"prop_sub(name=money, val=100), prop_add(name=piety, val=35), prop_add(name=prestige, val=20)"
evt_bandit_encounter_05,action:travel:mode:road,actor:status:physical:weak,city:safety:level:dangerous,prop_gt(name=health, val=30),山贼拦路,在山路上，一群山贼突然拦住了你的去路，他们看起来并不友好。,bg_mountain,8.0,武力反抗,prop_gt(name=strength, val=40),"prop_sub(name=health, val=20), prop_add(name=prestige, val=10), trait_add(name=brave)",交钱保命,prop_gt(name=money, val=50),"prop_sub(name=money, val=50), prop_sub(name=health, val=5)",智取脱身,prop_gt(name=intel, val=35),"prop_add(name=intel, val=10), prop_add(name=prestige, val=15)",呼救求助,trait_has(name=connected),"prop_sub(name=money, val=20), prop_add(name=safety, val=25)"
evt_festival_celebration_06,city:event:type:festival,action:social:activity:celebrate,actor:status:emotional:happy,prop_gt(name=money, val=30),节日庆典,城里正在举行盛大的节日庆典，人们载歌载舞，热闹非凡。,bg_festival,18.0,参与狂欢,prop_gt(name=money, val=20),"prop_sub(name=money, val=40), prop_add(name=happiness, val=25), trait_add(name=joyful)",观看表演,,,"prop_sub(name=money, val=10), prop_add(name=happiness, val=15)",购买纪念品,prop_gt(name=money, val=80),"prop_sub(name=money, val=60), prop_add(name=prestige, val=10)",协助筹备,trait_has(name=diligent),"prop_sub(name=money, val=15), prop_add(name=prestige, val=25), trait_add(name=respected)"
evt_scholar_debate_07,action:intent:study:debate,actor:status:social:scholar,city:econ:level:prosperous,"prop_gt(name=literary_fame, val=40), trait_has(name=confident)",学术辩论,在书院里，几位学者正在就一个学术问题展开激烈辩论。,bg_academy,14.0,加入辩论,prop_gt(name=literary_fame, val=35),"prop_add(name=literary_fame, val=20), prop_add(name=prestige, val=15)",认真倾听,,,prop_add(name=literary_fame, val=8),提出质疑,prop_gt(name=intel, val=30),"prop_add(name=intel, val=12), prop_add(name=literary_fame, val=10)",记录观点,prop_gt(name=literary_fame, val=25),"prop_add(name=literary_fame, val=12), prop_add(name=intel, val=8)"
evt_medicine_treatment_08,actor:status:physical:sick,action:seek:service:healing,city:inf:type:clinic,prop_lt(name=health, val=60),求医问药,你感到身体不适，决定寻求医生的帮助。,bg_clinic,9.0,找名医诊治,prop_gt(name=money, val=100),"prop_sub(name=money, val=80), prop_add(name=health, val=30)",自己调理,,,prop_add(name=health, val=10),寻求偏方,prop_gt(name=intel, val=20),"prop_add(name=health, val=15), prop_sub(name=money, val=20)",静养休息,,,"prop_add(name=health, val=5), prop_add(name=time, val=2)"
evt_business_opportunity_09,action:trade:type:business,city:econ:type:commercial,prop_gt(name=money, val=200),商机发现,你在商业活动中发现了一个潜在的商机，但需要一定的投入。,bg_market,16.0,大胆投资,prop_gt(name=money, val=150),"prop_sub(name=money, val=100), prop_add(name=money, val=150)",谨慎观望,,,"prop_sub(name=money, val=10), prop_add(name=intel, val=5)",寻找合伙人,trait_has(name=connected),"prop_sub(name=money, val=50), prop_add(name=money, val=80)",放弃机会,,,prop_sub(name=intel, val=5)
evt_family_reunion_10,actor:status:emotional:homesick,action:travel:destination:home,city:family:relation:hometown,prop_gt(name=time, val=5),家乡团聚,你终于回到了阔别已久的家乡，家人热情地迎接你。,bg_village,11.0,久别叙旧,,,"prop_add(name=happiness, val=30), prop_add(name=piety, val=15)",赠送礼物,prop_gt(name=money, val=50),"prop_sub(name=money, val=40), prop_add(name=prestige, val=20), prop_add(name=happiness, val=10)",帮助家务,trait_has(name=diligent),"prop_add(name=prestige, val=15), prop_add(name=happiness, val=8)",短暂停留,,,"prop_add(name=happiness, val=15), prop_add(name=time, val=1)"
